"","date","new_cases"
"1",2021-06-02,13
"2",2021-06-03,16
"3",2021-06-04,24
"4",2021-06-05,16
"5",2021-06-06,12
"6",2021-06-07,6
"7",2021-06-08,13
"8",2021-06-09,11
"9",2021-06-10,23
"10",2021-06-11,15
"11",2021-06-12,14
"12",2021-06-13,14
"13",2021-06-14,9
"14",2021-06-15,28
"15",2021-06-16,45
"16",2021-06-17,28
"17",2021-06-18,41
"18",2021-06-19,47
"19",2021-06-20,28
"20",2021-06-21,24
"21",2021-06-22,37
"22",2021-06-23,58
"23",2021-06-24,52
"24",2021-06-25,64
"25",2021-06-26,32
"26",2021-06-27,42
"27",2021-06-28,25
"28",2021-06-29,19
"29",2021-06-30,45
"30",2021-07-01,52
"31",2021-07-02,56
"32",2021-07-03,31
"33",2021-07-04,22
"34",2021-07-05,16
"35",2021-07-06,27
"36",2021-07-07,30
"37",2021-07-08,33
"38",2021-07-09,24
"39",2021-07-10,26
"40",2021-07-11,23
"41",2021-07-12,13
"42",2021-07-13,12
"43",2021-07-14,10
"44",2021-07-15,12
"45",2021-07-16,17
"46",2021-07-17,15
"47",2021-07-18,20
"48",2021-07-19,12
"49",2021-07-20,14
"50",2021-07-21,12
"51",2021-07-22,7
"52",2021-07-23,13
"53",2021-07-24,17
"54",2021-07-25,23
"55",2021-07-26,11
"56",2021-07-27,24
"57",2021-07-28,27
"58",2021-07-29,15
"59",2021-07-30,23
"60",2021-07-31,19
"61",2021-08-01,10
"62",2021-08-02,9
"63",2021-08-03,29
"64",2021-08-04,46
"65",2021-08-05,23
"66",2021-08-06,28
"67",2021-08-07,32
"68",2021-08-08,22
"69",2021-08-09,21
"70",2021-08-10,38
"71",2021-08-11,45
"72",2021-08-12,49
"73",2021-08-13,32
"74",2021-08-14,32
"75",2021-08-15,37
"76",2021-08-16,26
"77",2021-08-17,53
"78",2021-08-18,61
"79",2021-08-19,35
"80",2021-08-20,42
"81",2021-08-21,54
"82",2021-08-22,32
"83",2021-08-23,35
"84",2021-08-24,48
"85",2021-08-25,70
"86",2021-08-26,80
"87",2021-08-27,81
"88",2021-08-28,92
"89",2021-08-29,69
"90",2021-08-30,46
"91",2021-08-31,67
"92",2021-09-01,65
"93",2021-09-02,53
"94",2021-09-03,71
"95",2021-09-04,90
"96",2021-09-05,36
"97",2021-09-06,38
"98",2021-09-07,43
"99",2021-09-08,32
"100",2021-09-09,41
"101",2021-09-10,47
"102",2021-09-11,28
"103",2021-09-12,18
"104",2021-09-13,13
"105",2021-09-14,31
"106",2021-09-15,24
"107",2021-09-16,26
"108",2021-09-17,22
"109",2021-09-18,23
"110",2021-09-19,12
"111",2021-09-20,19
"112",2021-09-21,27
"113",2021-09-22,30
"114",2021-09-23,21
"115",2021-09-24,38
"116",2021-09-25,18
"117",2021-09-26,22
"118",2021-09-27,11
"119",2021-09-28,13
"120",2021-09-29,19
"121",2021-09-30,22
"122",2021-10-01,17
"123",2021-10-02,19
"124",2021-10-03,9
"125",2021-10-04,7
"126",2021-10-05,12
"127",2021-10-06,25
"128",2021-10-07,24
"129",2021-10-08,10
"130",2021-10-09,28
"131",2021-10-10,8
"132",2021-10-11,1
"133",2021-10-12,17
"134",2021-10-13,12
"135",2021-10-14,16
"136",2021-10-15,23
"137",2021-10-16,15
"138",2021-10-17,11
"139",2021-10-18,15
"140",2021-10-19,35
"141",2021-10-20,28
"142",2021-10-21,45
"143",2021-10-22,44
"144",2021-10-23,39
"145",2021-10-24,20
"146",2021-10-25,18
"147",2021-10-26,39
"148",2021-10-27,60
"149",2021-10-28,96
"150",2021-10-29,48
"151",2021-10-30,126
"152",2021-10-31,83
"153",2021-11-01,59
"154",2021-11-02,109
"155",2021-11-03,133
"156",2021-11-04,129
"157",2021-11-05,140
"158",2021-11-06,113
"159",2021-11-07,68
"160",2021-11-08,90
"161",2021-11-09,114
"162",2021-11-10,128
"163",2021-11-11,118
"164",2021-11-12,114
"165",2021-11-13,99
"166",2021-11-14,53
"167",2021-11-15,60
"168",2021-11-16,85
"169",2021-11-17,129
"170",2021-11-18,171
"171",2021-11-19,143
"172",2021-11-20,139
"173",2021-11-21,93
"174",2021-11-22,99
"175",2021-11-23,124
"176",2021-11-24,76
"177",2021-11-25,305
"178",2021-11-26,170
"179",2021-11-27,163
"180",2021-11-28,85
"181",2021-11-29,89
"182",2021-11-30,220
"183",2021-12-01,260
"184",2021-12-02,258
"185",2021-12-03,249
"186",2021-12-04,270
"187",2021-12-05,191
"188",2021-12-06,131
"189",2021-12-07,291
"190",2021-12-08,304
"191",2021-12-09,465
"192",2021-12-10,322
"193",2021-12-11,442
"194",2021-12-12,209
"195",2021-12-13,279
"196",2021-12-14,345
"197",2021-12-15,417
"198",2021-12-16,350
"199",2021-12-17,391
"200",2021-12-18,417
"201",2021-12-19,279
"202",2021-12-20,264
"203",2021-12-21,306
"204",2021-12-22,426
"205",2021-12-23,316
"206",2021-12-24,284
"207",2021-12-25,226
"208",2021-12-26,152
"209",2021-12-27,262
"210",2021-12-28,259
"211",2021-12-29,427
"212",2021-12-30,258
"213",2021-12-31,443
