"","date","new_cases"
"1",2021-06-02,25
"2",2021-06-03,22
"3",2021-06-04,35
"4",2021-06-05,31
"5",2021-06-06,15
"6",2021-06-07,4
"7",2021-06-08,13
"8",2021-06-09,10
"9",2021-06-10,4
"10",2021-06-11,11
"11",2021-06-12,12
"12",2021-06-13,15
"13",2021-06-14,2
"14",2021-06-15,5
"15",2021-06-16,6
"16",2021-06-17,17
"17",2021-06-18,11
"18",2021-06-19,10
"19",2021-06-20,3
"20",2021-06-21,4
"21",2021-06-22,8
"22",2021-06-23,7
"23",2021-06-24,21
"24",2021-06-25,13
"25",2021-06-26,8
"26",2021-06-27,4
"27",2021-06-28,2
"28",2021-06-29,1
"29",2021-06-30,17
"30",2021-07-01,19
"31",2021-07-02,14
"32",2021-07-03,8
"33",2021-07-04,7
"34",2021-07-05,3
"35",2021-07-06,14
"36",2021-07-07,6
"37",2021-07-08,4
"38",2021-07-09,6
"39",2021-07-10,6
"40",2021-07-11,11
"41",2021-07-12,2
"42",2021-07-13,6
"43",2021-07-14,6
"44",2021-07-15,10
"45",2021-07-16,8
"46",2021-07-17,17
"47",2021-07-18,14
"48",2021-07-19,1
"49",2021-07-20,21
"50",2021-07-21,6
"51",2021-07-22,9
"52",2021-07-23,13
"53",2021-07-24,21
"54",2021-07-25,25
"55",2021-07-26,14
"56",2021-07-27,16
"57",2021-07-28,17
"58",2021-07-29,20
"59",2021-07-30,11
"60",2021-07-31,14
"61",2021-08-01,11
"62",2021-08-02,6
"63",2021-08-03,7
"64",2021-08-04,24
"65",2021-08-05,23
"66",2021-08-06,25
"67",2021-08-07,20
"68",2021-08-08,14
"69",2021-08-09,5
"70",2021-08-10,15
"71",2021-08-11,18
"72",2021-08-12,19
"73",2021-08-13,10
"74",2021-08-14,11
"75",2021-08-15,7
"76",2021-08-16,9
"77",2021-08-17,12
"78",2021-08-18,16
"79",2021-08-19,14
"80",2021-08-20,18
"81",2021-08-21,17
"82",2021-08-22,6
"83",2021-08-23,12
"84",2021-08-24,13
"85",2021-08-25,22
"86",2021-08-26,15
"87",2021-08-27,19
"88",2021-08-28,23
"89",2021-08-29,16
"90",2021-08-30,20
"91",2021-08-31,20
"92",2021-09-01,26
"93",2021-09-02,21
"94",2021-09-03,17
"95",2021-09-04,20
"96",2021-09-05,22
"97",2021-09-06,16
"98",2021-09-07,22
"99",2021-09-08,22
"100",2021-09-09,19
"101",2021-09-10,29
"102",2021-09-11,28
"103",2021-09-12,19
"104",2021-09-13,13
"105",2021-09-14,33
"106",2021-09-15,42
"107",2021-09-16,34
"108",2021-09-17,55
"109",2021-09-18,32
"110",2021-09-19,26
"111",2021-09-20,12
"112",2021-09-21,29
"113",2021-09-22,26
"114",2021-09-23,31
"115",2021-09-24,35
"116",2021-09-25,40
"117",2021-09-26,15
"118",2021-09-27,31
"119",2021-09-28,24
"120",2021-09-29,23
"121",2021-09-30,26
"122",2021-10-01,19
"123",2021-10-02,18
"124",2021-10-03,21
"125",2021-10-04,12
"126",2021-10-05,22
"127",2021-10-06,23
"128",2021-10-07,43
"129",2021-10-08,20
"130",2021-10-09,19
"131",2021-10-10,16
"132",2021-10-11,22
"133",2021-10-12,31
"134",2021-10-13,51
"135",2021-10-14,25
"136",2021-10-15,35
"137",2021-10-16,48
"138",2021-10-17,29
"139",2021-10-18,33
"140",2021-10-19,49
"141",2021-10-20,43
"142",2021-10-21,40
"143",2021-10-22,90
"144",2021-10-23,61
"145",2021-10-24,69
"146",2021-10-25,39
"147",2021-10-26,57
"148",2021-10-27,92
"149",2021-10-28,103
"150",2021-10-29,64
"151",2021-10-30,97
"152",2021-10-31,71
"153",2021-11-01,69
"154",2021-11-02,77
"155",2021-11-03,132
"156",2021-11-04,139
"157",2021-11-05,150
"158",2021-11-06,153
"159",2021-11-07,125
"160",2021-11-08,152
"161",2021-11-09,130
"162",2021-11-10,195
"163",2021-11-11,154
"164",2021-11-12,229
"165",2021-11-13,192
"166",2021-11-14,129
"167",2021-11-15,134
"168",2021-11-16,92
"169",2021-11-17,221
"170",2021-11-18,172
"171",2021-11-19,119
"172",2021-11-20,169
"173",2021-11-21,99
"174",2021-11-22,99
"175",2021-11-23,110
"176",2021-11-24,64
"177",2021-11-25,220
"178",2021-11-26,135
"179",2021-11-27,131
"180",2021-11-28,74
"181",2021-11-29,93
"182",2021-11-30,51
"183",2021-12-01,80
"184",2021-12-02,140
"185",2021-12-03,101
"186",2021-12-04,159
"187",2021-12-05,165
"188",2021-12-06,50
"189",2021-12-07,169
"190",2021-12-08,150
"191",2021-12-09,125
"192",2021-12-10,201
"193",2021-12-11,103
"194",2021-12-12,69
"195",2021-12-13,148
"196",2021-12-14,109
"197",2021-12-15,128
"198",2021-12-16,183
"199",2021-12-17,124
"200",2021-12-18,99
"201",2021-12-19,90
"202",2021-12-20,72
"203",2021-12-21,103
"204",2021-12-22,117
"205",2021-12-23,96
"206",2021-12-24,78
"207",2021-12-25,59
"208",2021-12-26,42
"209",2021-12-27,42
"210",2021-12-28,102
"211",2021-12-29,80
"212",2021-12-30,79
"213",2021-12-31,81
