"","date","new_cases"
"1",2021-06-02,45
"2",2021-06-03,35
"3",2021-06-04,37
"4",2021-06-05,26
"5",2021-06-06,26
"6",2021-06-07,6
"7",2021-06-08,14
"8",2021-06-09,13
"9",2021-06-10,17
"10",2021-06-11,24
"11",2021-06-12,15
"12",2021-06-13,4
"13",2021-06-14,22
"14",2021-06-15,7
"15",2021-06-16,43
"16",2021-06-17,16
"17",2021-06-18,24
"18",2021-06-19,9
"19",2021-06-20,13
"20",2021-06-21,8
"21",2021-06-22,8
"22",2021-06-23,23
"23",2021-06-24,22
"24",2021-06-25,16
"25",2021-06-26,21
"26",2021-06-27,12
"27",2021-06-28,3
"28",2021-06-29,14
"29",2021-06-30,32
"30",2021-07-01,27
"31",2021-07-02,11
"32",2021-07-03,47
"33",2021-07-04,20
"34",2021-07-05,10
"35",2021-07-06,15
"36",2021-07-07,31
"37",2021-07-08,13
"38",2021-07-09,20
"39",2021-07-10,15
"40",2021-07-11,7
"41",2021-07-12,10
"42",2021-07-13,12
"43",2021-07-14,5
"44",2021-07-15,5
"45",2021-07-16,3
"46",2021-07-17,15
"47",2021-07-18,15
"48",2021-07-19,5
"49",2021-07-20,4
"50",2021-07-21,9
"51",2021-07-22,9
"52",2021-07-23,9
"53",2021-07-24,5
"54",2021-07-25,10
"55",2021-07-26,3
"56",2021-07-27,11
"57",2021-07-28,14
"58",2021-07-29,17
"59",2021-07-30,22
"60",2021-07-31,17
"61",2021-08-01,11
"62",2021-08-02,10
"63",2021-08-03,10
"64",2021-08-04,26
"65",2021-08-05,27
"66",2021-08-06,34
"67",2021-08-07,24
"68",2021-08-08,16
"69",2021-08-09,24
"70",2021-08-10,9
"71",2021-08-11,42
"72",2021-08-12,22
"73",2021-08-13,28
"74",2021-08-14,15
"75",2021-08-15,16
"76",2021-08-16,22
"77",2021-08-17,22
"78",2021-08-18,32
"79",2021-08-19,16
"80",2021-08-20,36
"81",2021-08-21,16
"82",2021-08-22,34
"83",2021-08-23,27
"84",2021-08-24,40
"85",2021-08-25,84
"86",2021-08-26,52
"87",2021-08-27,67
"88",2021-08-28,92
"89",2021-08-29,75
"90",2021-08-30,83
"91",2021-08-31,102
"92",2021-09-01,88
"93",2021-09-02,107
"94",2021-09-03,115
"95",2021-09-04,156
"96",2021-09-05,102
"97",2021-09-06,111
"98",2021-09-07,69
"99",2021-09-08,84
"100",2021-09-09,93
"101",2021-09-10,128
"102",2021-09-11,83
"103",2021-09-12,50
"104",2021-09-13,50
"105",2021-09-14,48
"106",2021-09-15,49
"107",2021-09-16,56
"108",2021-09-17,88
"109",2021-09-18,59
"110",2021-09-19,64
"111",2021-09-20,36
"112",2021-09-21,84
"113",2021-09-22,50
"114",2021-09-23,51
"115",2021-09-24,32
"116",2021-09-25,55
"117",2021-09-26,26
"118",2021-09-27,27
"119",2021-09-28,43
"120",2021-09-29,52
"121",2021-09-30,38
"122",2021-10-01,34
"123",2021-10-02,46
"124",2021-10-03,34
"125",2021-10-04,9
"126",2021-10-05,37
"127",2021-10-06,49
"128",2021-10-07,26
"129",2021-10-08,48
"130",2021-10-09,43
"131",2021-10-10,22
"132",2021-10-11,28
"133",2021-10-12,37
"134",2021-10-13,61
"135",2021-10-14,44
"136",2021-10-15,29
"137",2021-10-16,29
"138",2021-10-17,36
"139",2021-10-18,10
"140",2021-10-19,39
"141",2021-10-20,58
"142",2021-10-21,66
"143",2021-10-22,66
"144",2021-10-23,56
"145",2021-10-24,38
"146",2021-10-25,26
"147",2021-10-26,89
"148",2021-10-27,145
"149",2021-10-28,118
"150",2021-10-29,102
"151",2021-10-30,89
"152",2021-10-31,80
"153",2021-11-01,93
"154",2021-11-02,198
"155",2021-11-03,216
"156",2021-11-04,179
"157",2021-11-05,215
"158",2021-11-06,221
"159",2021-11-07,152
"160",2021-11-08,90
"161",2021-11-09,232
"162",2021-11-10,278
"163",2021-11-11,231
"164",2021-11-12,244
"165",2021-11-13,237
"166",2021-11-14,176
"167",2021-11-15,172
"168",2021-11-16,157
"169",2021-11-17,244
"170",2021-11-18,250
"171",2021-11-19,217
"172",2021-11-20,207
"173",2021-11-21,130
"174",2021-11-22,124
"175",2021-11-23,190
"176",2021-11-24,113
"177",2021-11-25,355
"178",2021-11-26,209
"179",2021-11-27,194
"180",2021-11-28,167
"181",2021-11-29,50
"182",2021-11-30,200
"183",2021-12-01,260
"184",2021-12-02,207
"185",2021-12-03,252
"186",2021-12-04,191
"187",2021-12-05,163
"188",2021-12-06,108
"189",2021-12-07,199
"190",2021-12-08,303
"191",2021-12-09,217
"192",2021-12-10,237
"193",2021-12-11,218
"194",2021-12-12,65
"195",2021-12-13,184
"196",2021-12-14,181
"197",2021-12-15,274
"198",2021-12-16,242
"199",2021-12-17,194
"200",2021-12-18,207
"201",2021-12-19,94
"202",2021-12-20,154
"203",2021-12-21,133
"204",2021-12-22,195
"205",2021-12-23,171
"206",2021-12-24,201
"207",2021-12-25,85
"208",2021-12-26,124
"209",2021-12-27,88
"210",2021-12-28,158
"211",2021-12-29,171
"212",2021-12-30,191
"213",2021-12-31,202
