"","date","new_cases"
"1",2021-06-02,7
"2",2021-06-03,5
"3",2021-06-04,5
"4",2021-06-05,2
"5",2021-06-06,3
"6",2021-06-07,0
"7",2021-06-08,15
"8",2021-06-09,4
"9",2021-06-10,7
"10",2021-06-11,0
"11",2021-06-12,-5
"12",2021-06-13,7
"13",2021-06-14,2
"14",2021-06-15,25
"15",2021-06-16,3
"16",2021-06-17,2
"17",2021-06-18,5
"18",2021-06-19,3
"19",2021-06-20,0
"20",2021-06-21,2
"21",2021-06-22,14
"22",2021-06-23,2
"23",2021-06-24,-3
"24",2021-06-25,6
"25",2021-06-26,3
"26",2021-06-27,1
"27",2021-06-28,0
"28",2021-06-29,10
"29",2021-06-30,6
"30",2021-07-01,9
"31",2021-07-02,2
"32",2021-07-03,9
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,5
"36",2021-07-07,8
"37",2021-07-08,9
"38",2021-07-09,4
"39",2021-07-10,2
"40",2021-07-11,0
"41",2021-07-12,1
"42",2021-07-13,14
"43",2021-07-14,1
"44",2021-07-15,8
"45",2021-07-16,6
"46",2021-07-17,4
"47",2021-07-18,0
"48",2021-07-19,2
"49",2021-07-20,16
"50",2021-07-21,34
"51",2021-07-22,6
"52",2021-07-23,10
"53",2021-07-24,5
"54",2021-07-25,-1
"55",2021-07-26,0
"56",2021-07-27,19
"57",2021-07-28,24
"58",2021-07-29,-4
"59",2021-07-30,5
"60",2021-07-31,3
"61",2021-08-01,0
"62",2021-08-02,14
"63",2021-08-03,0
"64",2021-08-04,2
"65",2021-08-05,8
"66",2021-08-06,7
"67",2021-08-07,2
"68",2021-08-08,1
"69",2021-08-09,2
"70",2021-08-10,22
"71",2021-08-11,17
"72",2021-08-12,17
"73",2021-08-13,20
"74",2021-08-14,10
"75",2021-08-15,3
"76",2021-08-16,8
"77",2021-08-17,34
"78",2021-08-18,9
"79",2021-08-19,11
"80",2021-08-20,6
"81",2021-08-21,14
"82",2021-08-22,2
"83",2021-08-23,1
"84",2021-08-24,22
"85",2021-08-25,23
"86",2021-08-26,23
"87",2021-08-27,18
"88",2021-08-28,30
"89",2021-08-29,1
"90",2021-08-30,7
"91",2021-08-31,35
"92",2021-09-01,36
"93",2021-09-02,22
"94",2021-09-03,27
"95",2021-09-04,17
"96",2021-09-05,5
"97",2021-09-06,1
"98",2021-09-07,45
"99",2021-09-08,18
"100",2021-09-09,23
"101",2021-09-10,31
"102",2021-09-11,15
"103",2021-09-12,3
"104",2021-09-13,1
"105",2021-09-14,26
"106",2021-09-15,14
"107",2021-09-16,18
"108",2021-09-17,39
"109",2021-09-18,21
"110",2021-09-19,14
"111",2021-09-20,3
"112",2021-09-21,9
"113",2021-09-22,-8
"114",2021-09-23,1
"115",2021-09-24,7
"116",2021-09-25,8
"117",2021-09-26,-2
"118",2021-09-27,0
"119",2021-09-28,14
"120",2021-09-29,11
"121",2021-09-30,9
"122",2021-10-01,14
"123",2021-10-02,10
"124",2021-10-03,3
"125",2021-10-04,1
"126",2021-10-05,11
"127",2021-10-06,19
"128",2021-10-07,2
"129",2021-10-08,13
"130",2021-10-09,13
"131",2021-10-10,2
"132",2021-10-11,24
"133",2021-10-12,-2
"134",2021-10-13,13
"135",2021-10-14,4
"136",2021-10-15,2
"137",2021-10-16,9
"138",2021-10-17,10
"139",2021-10-18,5
"140",2021-10-19,27
"141",2021-10-20,4
"142",2021-10-21,9
"143",2021-10-22,-5
"144",2021-10-23,18
"145",2021-10-24,7
"146",2021-10-25,4
"147",2021-10-26,22
"148",2021-10-27,14
"149",2021-10-28,13
"150",2021-10-29,12
"151",2021-10-30,6
"152",2021-10-31,19
"153",2021-11-01,3
"154",2021-11-02,33
"155",2021-11-03,29
"156",2021-11-04,13
"157",2021-11-05,25
"158",2021-11-06,29
"159",2021-11-07,19
"160",2021-11-08,31
"161",2021-11-09,6
"162",2021-11-10,19
"163",2021-11-11,27
"164",2021-11-12,22
"165",2021-11-13,9
"166",2021-11-14,10
"167",2021-11-15,1
"168",2021-11-16,25
"169",2021-11-17,31
"170",2021-11-18,37
"171",2021-11-19,51
"172",2021-11-20,18
"173",2021-11-21,23
"174",2021-11-22,6
"175",2021-11-23,-3
"176",2021-11-24,16
"177",2021-11-25,31
"178",2021-11-26,1
"179",2021-11-27,64
"180",2021-11-28,37
"181",2021-11-29,18
"182",2021-11-30,18
"183",2021-12-01,37
"184",2021-12-02,35
"185",2021-12-03,39
"186",2021-12-04,83
"187",2021-12-05,59
"188",2021-12-06,54
"189",2021-12-07,50
"190",2021-12-08,65
"191",2021-12-09,107
"192",2021-12-10,89
"193",2021-12-11,85
"194",2021-12-12,50
"195",2021-12-13,75
"196",2021-12-14,22
"197",2021-12-15,48
"198",2021-12-16,67
"199",2021-12-17,84
"200",2021-12-18,59
"201",2021-12-19,27
"202",2021-12-20,30
"203",2021-12-21,200
"204",2021-12-22,73
"205",2021-12-23,82
"206",2021-12-24,127
"207",2021-12-25,113
"208",2021-12-26,48
"209",2021-12-27,85
"210",2021-12-28,106
"211",2021-12-29,133
"212",2021-12-30,207
"213",2021-12-31,170
