"","date","new_cases"
"1",2021-06-02,33
"2",2021-06-03,25
"3",2021-06-04,20
"4",2021-06-05,31
"5",2021-06-06,12
"6",2021-06-07,8
"7",2021-06-08,20
"8",2021-06-09,17
"9",2021-06-10,23
"10",2021-06-11,32
"11",2021-06-12,34
"12",2021-06-13,25
"13",2021-06-14,18
"14",2021-06-15,34
"15",2021-06-16,22
"16",2021-06-17,11
"17",2021-06-18,20
"18",2021-06-19,20
"19",2021-06-20,14
"20",2021-06-21,8
"21",2021-06-22,27
"22",2021-06-23,19
"23",2021-06-24,21
"24",2021-06-25,20
"25",2021-06-26,10
"26",2021-06-27,6
"27",2021-06-28,4
"28",2021-06-29,12
"29",2021-06-30,16
"30",2021-07-01,17
"31",2021-07-02,14
"32",2021-07-03,22
"33",2021-07-04,5
"34",2021-07-05,7
"35",2021-07-06,5
"36",2021-07-07,13
"37",2021-07-08,8
"38",2021-07-09,30
"39",2021-07-10,15
"40",2021-07-11,14
"41",2021-07-12,5
"42",2021-07-13,13
"43",2021-07-14,17
"44",2021-07-15,13
"45",2021-07-16,4
"46",2021-07-17,7
"47",2021-07-18,1
"48",2021-07-19,8
"49",2021-07-20,7
"50",2021-07-21,8
"51",2021-07-22,12
"52",2021-07-23,16
"53",2021-07-24,9
"54",2021-07-25,10
"55",2021-07-26,7
"56",2021-07-27,16
"57",2021-07-28,13
"58",2021-07-29,22
"59",2021-07-30,10
"60",2021-07-31,20
"61",2021-08-01,15
"62",2021-08-02,11
"63",2021-08-03,25
"64",2021-08-04,17
"65",2021-08-05,18
"66",2021-08-06,26
"67",2021-08-07,22
"68",2021-08-08,7
"69",2021-08-09,6
"70",2021-08-10,17
"71",2021-08-11,24
"72",2021-08-12,29
"73",2021-08-13,30
"74",2021-08-14,34
"75",2021-08-15,38
"76",2021-08-16,6
"77",2021-08-17,36
"78",2021-08-18,50
"79",2021-08-19,34
"80",2021-08-20,53
"81",2021-08-21,50
"82",2021-08-22,49
"83",2021-08-23,21
"84",2021-08-24,51
"85",2021-08-25,67
"86",2021-08-26,50
"87",2021-08-27,53
"88",2021-08-28,62
"89",2021-08-29,44
"90",2021-08-30,27
"91",2021-08-31,32
"92",2021-09-01,64
"93",2021-09-02,48
"94",2021-09-03,70
"95",2021-09-04,50
"96",2021-09-05,29
"97",2021-09-06,34
"98",2021-09-07,47
"99",2021-09-08,72
"100",2021-09-09,76
"101",2021-09-10,64
"102",2021-09-11,74
"103",2021-09-12,49
"104",2021-09-13,31
"105",2021-09-14,32
"106",2021-09-15,56
"107",2021-09-16,37
"108",2021-09-17,29
"109",2021-09-18,19
"110",2021-09-19,14
"111",2021-09-20,7
"112",2021-09-21,25
"113",2021-09-22,36
"114",2021-09-23,21
"115",2021-09-24,40
"116",2021-09-25,25
"117",2021-09-26,16
"118",2021-09-27,12
"119",2021-09-28,23
"120",2021-09-29,27
"121",2021-09-30,15
"122",2021-10-01,30
"123",2021-10-02,23
"124",2021-10-03,10
"125",2021-10-04,17
"126",2021-10-05,16
"127",2021-10-06,33
"128",2021-10-07,19
"129",2021-10-08,28
"130",2021-10-09,18
"131",2021-10-10,11
"132",2021-10-11,7
"133",2021-10-12,22
"134",2021-10-13,28
"135",2021-10-14,16
"136",2021-10-15,12
"137",2021-10-16,13
"138",2021-10-17,11
"139",2021-10-18,7
"140",2021-10-19,15
"141",2021-10-20,34
"142",2021-10-21,28
"143",2021-10-22,30
"144",2021-10-23,34
"145",2021-10-24,16
"146",2021-10-25,15
"147",2021-10-26,26
"148",2021-10-27,49
"149",2021-10-28,39
"150",2021-10-29,33
"151",2021-10-30,47
"152",2021-10-31,38
"153",2021-11-01,22
"154",2021-11-02,59
"155",2021-11-03,76
"156",2021-11-04,57
"157",2021-11-05,70
"158",2021-11-06,47
"159",2021-11-07,44
"160",2021-11-08,16
"161",2021-11-09,80
"162",2021-11-10,82
"163",2021-11-11,88
"164",2021-11-12,83
"165",2021-11-13,68
"166",2021-11-14,62
"167",2021-11-15,28
"168",2021-11-16,81
"169",2021-11-17,147
"170",2021-11-18,149
"171",2021-11-19,143
"172",2021-11-20,115
"173",2021-11-21,85
"174",2021-11-22,44
"175",2021-11-23,101
"176",2021-11-24,138
"177",2021-11-25,277
"178",2021-11-26,206
"179",2021-11-27,229
"180",2021-11-28,141
"181",2021-11-29,61
"182",2021-11-30,168
"183",2021-12-01,332
"184",2021-12-02,319
"185",2021-12-03,345
"186",2021-12-04,336
"187",2021-12-05,210
"188",2021-12-06,107
"189",2021-12-07,243
"190",2021-12-08,408
"191",2021-12-09,469
"192",2021-12-10,370
"193",2021-12-11,338
"194",2021-12-12,263
"195",2021-12-13,160
"196",2021-12-14,279
"197",2021-12-15,687
"198",2021-12-16,460
"199",2021-12-17,310
"200",2021-12-18,436
"201",2021-12-19,199
"202",2021-12-20,158
"203",2021-12-21,296
"204",2021-12-22,334
"205",2021-12-23,290
"206",2021-12-24,359
"207",2021-12-25,143
"208",2021-12-26,179
"209",2021-12-27,79
"210",2021-12-28,235
"211",2021-12-29,309
"212",2021-12-30,244
"213",2021-12-31,322
