"","date","new_cases"
"1",2021-06-02,8
"2",2021-06-03,7
"3",2021-06-04,9
"4",2021-06-05,13
"5",2021-06-06,2
"6",2021-06-07,2
"7",2021-06-08,8
"8",2021-06-09,7
"9",2021-06-10,9
"10",2021-06-11,10
"11",2021-06-12,10
"12",2021-06-13,2
"13",2021-06-14,4
"14",2021-06-15,6
"15",2021-06-16,7
"16",2021-06-17,10
"17",2021-06-18,12
"18",2021-06-19,7
"19",2021-06-20,1
"20",2021-06-21,1
"21",2021-06-22,4
"22",2021-06-23,8
"23",2021-06-24,11
"24",2021-06-25,6
"25",2021-06-26,6
"26",2021-06-27,11
"27",2021-06-28,1
"28",2021-06-29,4
"29",2021-06-30,3
"30",2021-07-01,13
"31",2021-07-02,6
"32",2021-07-03,9
"33",2021-07-04,2
"34",2021-07-05,3
"35",2021-07-06,1
"36",2021-07-07,8
"37",2021-07-08,14
"38",2021-07-09,17
"39",2021-07-10,11
"40",2021-07-11,7
"41",2021-07-12,9
"42",2021-07-13,14
"43",2021-07-14,12
"44",2021-07-15,13
"45",2021-07-16,17
"46",2021-07-17,29
"47",2021-07-18,13
"48",2021-07-19,19
"49",2021-07-20,37
"50",2021-07-21,25
"51",2021-07-22,20
"52",2021-07-23,44
"53",2021-07-24,33
"54",2021-07-25,32
"55",2021-07-26,19
"56",2021-07-27,67
"57",2021-07-28,46
"58",2021-07-29,72
"59",2021-07-30,92
"60",2021-07-31,70
"61",2021-08-01,41
"62",2021-08-02,62
"63",2021-08-03,69
"64",2021-08-04,65
"65",2021-08-05,139
"66",2021-08-06,137
"67",2021-08-07,94
"68",2021-08-08,49
"69",2021-08-09,146
"70",2021-08-10,124
"71",2021-08-11,138
"72",2021-08-12,129
"73",2021-08-13,110
"74",2021-08-14,113
"75",2021-08-15,55
"76",2021-08-16,66
"77",2021-08-17,97
"78",2021-08-18,137
"79",2021-08-19,88
"80",2021-08-20,97
"81",2021-08-21,68
"82",2021-08-22,71
"83",2021-08-23,61
"84",2021-08-24,86
"85",2021-08-25,119
"86",2021-08-26,126
"87",2021-08-27,135
"88",2021-08-28,146
"89",2021-08-29,97
"90",2021-08-30,59
"91",2021-08-31,63
"92",2021-09-01,117
"93",2021-09-02,119
"94",2021-09-03,89
"95",2021-09-04,82
"96",2021-09-05,49
"97",2021-09-06,30
"98",2021-09-07,55
"99",2021-09-08,57
"100",2021-09-09,61
"101",2021-09-10,72
"102",2021-09-11,72
"103",2021-09-12,24
"104",2021-09-13,26
"105",2021-09-14,50
"106",2021-09-15,42
"107",2021-09-16,32
"108",2021-09-17,35
"109",2021-09-18,40
"110",2021-09-19,18
"111",2021-09-20,13
"112",2021-09-21,26
"113",2021-09-22,34
"114",2021-09-23,22
"115",2021-09-24,28
"116",2021-09-25,29
"117",2021-09-26,17
"118",2021-09-27,14
"119",2021-09-28,27
"120",2021-09-29,23
"121",2021-09-30,36
"122",2021-10-01,20
"123",2021-10-02,17
"124",2021-10-03,1
"125",2021-10-04,10
"126",2021-10-05,35
"127",2021-10-06,21
"128",2021-10-07,16
"129",2021-10-08,48
"130",2021-10-09,30
"131",2021-10-10,16
"132",2021-10-11,17
"133",2021-10-12,29
"134",2021-10-13,52
"135",2021-10-14,24
"136",2021-10-15,23
"137",2021-10-16,30
"138",2021-10-17,19
"139",2021-10-18,19
"140",2021-10-19,45
"141",2021-10-20,46
"142",2021-10-21,53
"143",2021-10-22,45
"144",2021-10-23,45
"145",2021-10-24,19
"146",2021-10-25,66
"147",2021-10-26,63
"148",2021-10-27,110
"149",2021-10-28,101
"150",2021-10-29,71
"151",2021-10-30,109
"152",2021-10-31,40
"153",2021-11-01,40
"154",2021-11-02,106
"155",2021-11-03,122
"156",2021-11-04,115
"157",2021-11-05,110
"158",2021-11-06,137
"159",2021-11-07,54
"160",2021-11-08,84
"161",2021-11-09,108
"162",2021-11-10,199
"163",2021-11-11,141
"164",2021-11-12,129
"165",2021-11-13,107
"166",2021-11-14,60
"167",2021-11-15,84
"168",2021-11-16,219
"169",2021-11-17,238
"170",2021-11-18,291
"171",2021-11-19,236
"172",2021-11-20,233
"173",2021-11-21,115
"174",2021-11-22,161
"175",2021-11-23,265
"176",2021-11-24,233
"177",2021-11-25,411
"178",2021-11-26,217
"179",2021-11-27,313
"180",2021-11-28,175
"181",2021-11-29,250
"182",2021-11-30,262
"183",2021-12-01,374
"184",2021-12-02,355
"185",2021-12-03,514
"186",2021-12-04,402
"187",2021-12-05,133
"188",2021-12-06,334
"189",2021-12-07,445
"190",2021-12-08,544
"191",2021-12-09,618
"192",2021-12-10,483
"193",2021-12-11,633
"194",2021-12-12,247
"195",2021-12-13,294
"196",2021-12-14,696
"197",2021-12-15,670
"198",2021-12-16,528
"199",2021-12-17,465
"200",2021-12-18,412
"201",2021-12-19,381
"202",2021-12-20,246
"203",2021-12-21,384
"204",2021-12-22,392
"205",2021-12-23,336
"206",2021-12-24,308
"207",2021-12-25,96
"208",2021-12-26,136
"209",2021-12-27,232
"210",2021-12-28,151
"211",2021-12-29,393
"212",2021-12-30,338
"213",2021-12-31,314
