"","date","new_cases"
"1",2021-06-02,66
"2",2021-06-03,49
"3",2021-06-04,40
"4",2021-06-05,38
"5",2021-06-06,34
"6",2021-06-07,40
"7",2021-06-08,41
"8",2021-06-09,45
"9",2021-06-10,47
"10",2021-06-11,38
"11",2021-06-12,37
"12",2021-06-13,19
"13",2021-06-14,15
"14",2021-06-15,29
"15",2021-06-16,31
"16",2021-06-17,42
"17",2021-06-18,25
"18",2021-06-19,19
"19",2021-06-20,13
"20",2021-06-21,15
"21",2021-06-22,27
"22",2021-06-23,30
"23",2021-06-24,23
"24",2021-06-25,24
"25",2021-06-26,23
"26",2021-06-27,27
"27",2021-06-28,24
"28",2021-06-29,31
"29",2021-06-30,50
"30",2021-07-01,42
"31",2021-07-02,52
"32",2021-07-03,50
"33",2021-07-04,34
"34",2021-07-05,32
"35",2021-07-06,56
"36",2021-07-07,63
"37",2021-07-08,57
"38",2021-07-09,66
"39",2021-07-10,39
"40",2021-07-11,33
"41",2021-07-12,25
"42",2021-07-13,43
"43",2021-07-14,67
"44",2021-07-15,54
"45",2021-07-16,56
"46",2021-07-17,43
"47",2021-07-18,34
"48",2021-07-19,27
"49",2021-07-20,32
"50",2021-07-21,65
"51",2021-07-22,62
"52",2021-07-23,82
"53",2021-07-24,44
"54",2021-07-25,34
"55",2021-07-26,26
"56",2021-07-27,67
"57",2021-07-28,61
"58",2021-07-29,69
"59",2021-07-30,81
"60",2021-07-31,54
"61",2021-08-01,59
"62",2021-08-02,57
"63",2021-08-03,54
"64",2021-08-04,71
"65",2021-08-05,92
"66",2021-08-06,93
"67",2021-08-07,68
"68",2021-08-08,59
"69",2021-08-09,62
"70",2021-08-10,103
"71",2021-08-11,150
"72",2021-08-12,127
"73",2021-08-13,160
"74",2021-08-14,142
"75",2021-08-15,92
"76",2021-08-16,91
"77",2021-08-17,105
"78",2021-08-18,174
"79",2021-08-19,159
"80",2021-08-20,194
"81",2021-08-21,194
"82",2021-08-22,169
"83",2021-08-23,147
"84",2021-08-24,215
"85",2021-08-25,269
"86",2021-08-26,402
"87",2021-08-27,343
"88",2021-08-28,498
"89",2021-08-29,248
"90",2021-08-30,266
"91",2021-08-31,454
"92",2021-09-01,478
"93",2021-09-02,510
"94",2021-09-03,516
"95",2021-09-04,552
"96",2021-09-05,461
"97",2021-09-06,438
"98",2021-09-07,356
"99",2021-09-08,689
"100",2021-09-09,560
"101",2021-09-10,621
"102",2021-09-11,427
"103",2021-09-12,331
"104",2021-09-13,257
"105",2021-09-14,373
"106",2021-09-15,523
"107",2021-09-16,364
"108",2021-09-17,320
"109",2021-09-18,258
"110",2021-09-19,174
"111",2021-09-20,154
"112",2021-09-21,222
"113",2021-09-22,279
"114",2021-09-23,281
"115",2021-09-24,230
"116",2021-09-25,259
"117",2021-09-26,198
"118",2021-09-27,125
"119",2021-09-28,201
"120",2021-09-29,231
"121",2021-09-30,167
"122",2021-10-01,176
"123",2021-10-02,129
"124",2021-10-03,85
"125",2021-10-04,102
"126",2021-10-05,139
"127",2021-10-06,167
"128",2021-10-07,130
"129",2021-10-08,112
"130",2021-10-09,109
"131",2021-10-10,55
"132",2021-10-11,86
"133",2021-10-12,123
"134",2021-10-13,149
"135",2021-10-14,100
"136",2021-10-15,84
"137",2021-10-16,126
"138",2021-10-17,131
"139",2021-10-18,56
"140",2021-10-19,164
"141",2021-10-20,155
"142",2021-10-21,181
"143",2021-10-22,206
"144",2021-10-23,161
"145",2021-10-24,198
"146",2021-10-25,119
"147",2021-10-26,200
"148",2021-10-27,300
"149",2021-10-28,294
"150",2021-10-29,275
"151",2021-10-30,268
"152",2021-10-31,181
"153",2021-11-01,143
"154",2021-11-02,328
"155",2021-11-03,325
"156",2021-11-04,302
"157",2021-11-05,383
"158",2021-11-06,277
"159",2021-11-07,262
"160",2021-11-08,224
"161",2021-11-09,386
"162",2021-11-10,518
"163",2021-11-11,443
"164",2021-11-12,493
"165",2021-11-13,482
"166",2021-11-14,422
"167",2021-11-15,291
"168",2021-11-16,529
"169",2021-11-17,719
"170",2021-11-18,631
"171",2021-11-19,669
"172",2021-11-20,684
"173",2021-11-21,384
"174",2021-11-22,535
"175",2021-11-23,706
"176",2021-11-24,429
"177",2021-11-25,1293
"178",2021-11-26,999
"179",2021-11-27,810
"180",2021-11-28,684
"181",2021-11-29,576
"182",2021-11-30,746
"183",2021-12-01,1375
"184",2021-12-02,1058
"185",2021-12-03,1285
"186",2021-12-04,1221
"187",2021-12-05,825
"188",2021-12-06,925
"189",2021-12-07,1220
"190",2021-12-08,1628
"191",2021-12-09,1477
"192",2021-12-10,1767
"193",2021-12-11,1955
"194",2021-12-12,1242
"195",2021-12-13,1176
"196",2021-12-14,1456
"197",2021-12-15,1801
"198",2021-12-16,2092
"199",2021-12-17,1396
"200",2021-12-18,1323
"201",2021-12-19,1572
"202",2021-12-20,1081
"203",2021-12-21,1010
"204",2021-12-22,1370
"205",2021-12-23,1384
"206",2021-12-24,1186
"207",2021-12-25,794
"208",2021-12-26,426
"209",2021-12-27,503
"210",2021-12-28,1284
"211",2021-12-29,1257
"212",2021-12-30,1326
"213",2021-12-31,844
