"","date","new_cases"
"1",2021-04-17,257
"2",2021-04-18,180
"3",2021-04-19,327
"4",2021-04-20,285
"5",2021-04-21,209
"6",2021-04-22,257
"7",2021-04-23,321
"8",2021-04-24,197
"9",2021-04-25,164
"10",2021-04-26,225
"11",2021-04-27,302
"12",2021-04-28,228
"13",2021-04-29,250
"14",2021-04-30,259
"15",2021-05-01,156
"16",2021-05-02,145
"17",2021-05-03,182
"18",2021-05-04,194
"19",2021-05-05,195
"20",2021-05-06,252
"21",2021-05-07,215
"22",2021-05-08,182
"23",2021-05-09,136
"24",2021-05-10,228
"25",2021-05-11,228
"26",2021-05-12,129
"27",2021-05-13,230
"28",2021-05-14,189
"29",2021-05-15,163
"30",2021-05-16,124
"31",2021-05-17,164
"32",2021-05-18,-662
"33",2021-05-19,108
"34",2021-05-20,165
"35",2021-05-21,197
"36",2021-05-22,159
"37",2021-05-23,132
"38",2021-05-24,232
"39",2021-05-25,232
"40",2021-05-26,250
"41",2021-05-27,310
"42",2021-05-28,338
"43",2021-05-29,332
"44",2021-05-30,233
"45",2021-05-31,311
"46",2021-06-01,345
"47",2021-06-02,377
"48",2021-06-03,440
"49",2021-06-04,563
"50",2021-06-05,485
"51",2021-06-06,426
"52",2021-06-07,545
"53",2021-06-08,465
"54",2021-06-09,506
"55",2021-06-10,651
"56",2021-06-11,585
"57",2021-06-12,586
"58",2021-06-13,570
"59",2021-06-14,607
"60",2021-06-15,585
"61",2021-06-16,776
"62",2021-06-17,892
"63",2021-06-18,882
"64",2021-06-19,802
"65",2021-06-20,729
"66",2021-06-21,818
"67",2021-06-22,817
"68",2021-06-23,1118
"69",2021-06-24,1231
"70",2021-06-25,1237
"71",2021-06-26,1487
"72",2021-06-27,1219
"73",2021-06-28,2068
"74",2021-06-29,1911
"75",2021-06-30,2270
"76",2021-07-01,2725
"77",2021-07-02,2445
"78",2021-07-03,2358
"79",2021-07-04,2432
"80",2021-07-05,2632
"81",2021-07-06,3102
"82",2021-07-07,3075
"83",2021-07-08,2806
"84",2021-07-09,3084
"85",2021-07-10,3360
"86",2021-07-11,3380
"87",2021-07-12,3994
"88",2021-07-13,4127
"89",2021-07-14,4650
"90",2021-07-15,5890
"91",2021-07-16,6194
"92",2021-07-17,6346
"93",2021-07-18,5657
"94",2021-07-19,4545
"95",2021-07-20,6372
"96",2021-07-21,5194
"97",2021-07-22,5036
"98",2021-07-23,4533
"99",2021-07-24,3451
"100",2021-07-25,3384
"101",2021-07-26,2850
"102",2021-07-27,2666
"103",2021-07-28,3357
"104",2021-07-29,3715
"105",2021-07-30,3418
"106",2021-07-31,3214
"107",2021-08-01,2912
"108",2021-08-02,2491
"109",2021-08-03,2678
"110",2021-08-04,3620
"111",2021-08-05,3515
"112",2021-08-06,3945
"113",2021-08-07,3616
"114",2021-08-08,3345
"115",2021-08-09,3066
"116",2021-08-10,2948
"117",2021-08-11,3500
"118",2021-08-12,4268
"119",2021-08-13,4427
"120",2021-08-14,3957
"121",2021-08-15,3763
"122",2021-08-16,3346
"123",2021-08-17,3391
"124",2021-08-18,4511
"125",2021-08-19,4671
"126",2021-08-20,4619
"127",2021-08-21,4274
"128",2021-08-22,4213
"129",2021-08-23,3595
"130",2021-08-24,3462
"131",2021-08-25,3993
"132",2021-08-26,4564
"133",2021-08-27,3887
"134",2021-08-28,3711
"135",2021-08-29,3199
"136",2021-08-30,3257
"137",2021-08-31,2830
"138",2021-09-01,3783
"139",2021-09-02,4815
"140",2021-09-03,4474
"141",2021-09-04,4681
"142",2021-09-05,4407
"143",2021-09-06,3796
"144",2021-09-07,3689
"145",2021-09-08,4142
"146",2021-09-09,3526
"147",2021-09-10,3418
"148",2021-09-11,3077
"149",2021-09-12,2699
"150",2021-09-13,2714
"151",2021-09-14,2521
"152",2021-09-15,2918
"153",2021-09-16,3335
"154",2021-09-17,3030
"155",2021-09-18,2820
"156",2021-09-19,3025
"157",2021-09-20,3836
"158",2021-09-21,3396
"159",2021-09-22,3872
"160",2021-09-23,4039
"161",2021-09-24,4109
"162",2021-09-25,3451
"163",2021-09-26,3110
"164",2021-09-27,4318
"165",2021-09-28,4838
"166",2021-09-29,4168
"167",2021-09-30,4484
"168",2021-10-01,3148
"169",2021-10-02,3530
"170",2021-10-03,3773
"171",2021-10-04,4580
"172",2021-10-05,4641
"173",2021-10-06,5098
"174",2021-10-07,4715
"175",2021-10-08,4705
"176",2021-10-09,4782
"177",2021-10-10,4892
"178",2021-10-11,5372
"179",2021-10-12,4996
"180",2021-10-13,5766
"181",2021-10-14,5913
"182",2021-10-15,6017
"183",2021-10-16,6274
"184",2021-10-17,6867
"185",2021-10-18,6912
"186",2021-10-19,6498
"187",2021-10-20,7427
"188",2021-10-21,7704
"189",2021-10-22,7347
"190",2021-10-23,7365
"191",2021-10-24,6250
"192",2021-10-25,6258
"193",2021-10-26,5481
"194",2021-10-27,6446
"195",2021-10-28,6283
"196",2021-10-29,6424
"197",2021-10-30,6122
"198",2021-10-31,5595
"199",2021-11-01,5522
"200",2021-11-02,4918
"201",2021-11-03,5997
"202",2021-11-04,5151
"203",2021-11-05,4609
"204",2021-11-06,4215
"205",2021-11-07,4190
"206",2021-11-08,4568
