"","date","new_cases"
"1",2021-04-17,4
"2",2021-04-18,3
"3",2021-04-19,4
"4",2021-04-20,4
"5",2021-04-21,1
"6",2021-04-22,2
"7",2021-04-23,5
"8",2021-04-24,2
"9",2021-04-25,3
"10",2021-04-26,1
"11",2021-04-27,1
"12",2021-04-28,2
"13",2021-04-29,2
"14",2021-04-30,1
"15",2021-05-01,0
"16",2021-05-02,1
"17",2021-05-03,1
"18",2021-05-04,1
"19",2021-05-05,1
"20",2021-05-06,2
"21",2021-05-07,0
"22",2021-05-08,0
"23",2021-05-09,0
"24",2021-05-10,0
"25",2021-05-11,0
"26",2021-05-12,0
"27",2021-05-13,0
"28",2021-05-14,1
"29",2021-05-15,0
"30",2021-05-16,0
"31",2021-05-17,0
"32",2021-05-18,1
"33",2021-05-19,0
"34",2021-05-20,0
"35",2021-05-21,0
"36",2021-05-22,0
"37",2021-05-23,2
"38",2021-05-24,0
"39",2021-05-25,1
"40",2021-05-26,0
"41",2021-05-27,0
"42",2021-05-28,0
"43",2021-05-29,1
"44",2021-05-30,0
"45",2021-05-31,0
"46",2021-06-01,1
"47",2021-06-02,0
"48",2021-06-03,1
"49",2021-06-04,2
"50",2021-06-05,0
"51",2021-06-06,0
"52",2021-06-07,1
"53",2021-06-08,0
"54",2021-06-09,0
"55",2021-06-10,1
"56",2021-06-11,0
"57",2021-06-12,0
"58",2021-06-13,0
"59",2021-06-14,3
"60",2021-06-15,1
"61",2021-06-16,0
"62",2021-06-17,1
"63",2021-06-18,0
"64",2021-06-19,0
"65",2021-06-20,2
"66",2021-06-21,0
"67",2021-06-22,1
"68",2021-06-23,3
"69",2021-06-24,3
"70",2021-06-25,5
"71",2021-06-26,6
"72",2021-06-27,7
"73",2021-06-28,5
"74",2021-06-29,14
"75",2021-06-30,13
"76",2021-07-01,5
"77",2021-07-02,9
"78",2021-07-03,6
"79",2021-07-04,8
"80",2021-07-05,19
"81",2021-07-06,20
"82",2021-07-07,21
"83",2021-07-08,24
"84",2021-07-09,26
"85",2021-07-10,6
"86",2021-07-11,15
"87",2021-07-12,22
"88",2021-07-13,20
"89",2021-07-14,20
"90",2021-07-15,22
"91",2021-07-16,65
"92",2021-07-17,14
"93",2021-07-18,38
"94",2021-07-19,40
"95",2021-07-20,56
"96",2021-07-21,55
"97",2021-07-22,48
"98",2021-07-23,69
"99",2021-07-24,47
"100",2021-07-25,39
"101",2021-07-26,72
"102",2021-07-27,87
"103",2021-07-28,94
"104",2021-07-29,89
"105",2021-07-30,68
"106",2021-07-31,73
"107",2021-08-01,57
"108",2021-08-02,104
"109",2021-08-03,103
"110",2021-08-04,90
"111",2021-08-05,153
"112",2021-08-06,159
"113",2021-08-07,130
"114",2021-08-08,137
"115",2021-08-09,184
"116",2021-08-10,184
"117",2021-08-11,227
"118",2021-08-12,234
"119",2021-08-13,241
"120",2021-08-14,187
"121",2021-08-15,190
"122",2021-08-16,327
"123",2021-08-17,284
"124",2021-08-18,268
"125",2021-08-19,285
"126",2021-08-20,257
"127",2021-08-21,166
"128",2021-08-22,247
"129",2021-08-23,297
"130",2021-08-24,335
"131",2021-08-25,258
"132",2021-08-26,205
"133",2021-08-27,243
"134",2021-08-28,160
"135",2021-08-29,231
"136",2021-08-30,273
"137",2021-08-31,218
"138",2021-09-01,315
"139",2021-09-02,289
"140",2021-09-03,206
"141",2021-09-04,123
"142",2021-09-05,178
"143",2021-09-06,204
"144",2021-09-07,209
"145",2021-09-08,60
"146",2021-09-09,206
"147",2021-09-10,172
"148",2021-09-11,191
"149",2021-09-12,234
"150",2021-09-13,191
"151",2021-09-14,190
"152",2021-09-15,128
"153",2021-09-16,31
"154",2021-09-17,106
"155",2021-09-18,154
"156",2021-09-19,118
"157",2021-09-20,132
"158",2021-09-21,63
"159",2021-09-22,101
"160",2021-09-23,93
"161",2021-09-24,89
"162",2021-09-25,39
"163",2021-09-26,37
"164",2021-09-27,81
"165",2021-09-28,46
"166",2021-09-29,64
"167",2021-09-30,65
"168",2021-10-01,27
"169",2021-10-02,30
"170",2021-10-03,44
"171",2021-10-04,40
"172",2021-10-05,23
"173",2021-10-06,28
"174",2021-10-07,20
"175",2021-10-08,30
"176",2021-10-09,41
"177",2021-10-10,25
"178",2021-10-11,40
"179",2021-10-12,26
"180",2021-10-13,10
"181",2021-10-14,23
"182",2021-10-15,18
"183",2021-10-16,17
"184",2021-10-17,23
"185",2021-10-18,27
"186",2021-10-19,11
"187",2021-10-20,11
"188",2021-10-21,8
"189",2021-10-22,18
"190",2021-10-23,2
"191",2021-10-24,8
"192",2021-10-25,12
"193",2021-10-26,7
"194",2021-10-27,7
"195",2021-10-28,7
"196",2021-10-29,5
"197",2021-10-30,5
"198",2021-10-31,8
"199",2021-11-01,2
"200",2021-11-02,5
"201",2021-11-03,5
"202",2021-11-04,3
"203",2021-11-05,3
"204",2021-11-06,2
"205",2021-11-07,4
"206",2021-11-08,4
"207",2021-11-09,4
"208",2021-11-10,4
"209",2021-11-11,2
"210",2021-11-12,0
"211",2021-11-13,5
"212",2021-11-14,1
"213",2021-11-15,4
"214",2021-11-16,5
"215",2021-11-17,3
"216",2021-11-18,5
"217",2021-11-19,5
"218",2021-11-20,1
"219",2021-11-21,7
"220",2021-11-22,14
"221",2021-11-23,8
"222",2021-11-24,5
"223",2021-11-25,2
"224",2021-11-26,3
"225",2021-11-27,2
"226",2021-11-28,6
"227",2021-11-29,7
"228",2021-11-30,4
