Entity,Code,Day,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,Omicron.BA.1.,Omicron.BA.2.,Omicron.BA.2.12.1.,Omicron.BA.4.,Omicron.BA.5.,Omicron.BA.2.75.,total
Israel,ISR,2020-08-03,0,0,0,0,0,0,0,0,48,0,0,0,NA,NA,NA,NA,NA,NA,48
Israel,ISR,2020-12-21,1,0,0,0,0,0,0,6,47,0,0,0,NA,NA,NA,NA,NA,NA,54
Israel,ISR,2021-01-04,11,1,0,0,0,0,0,309,1081,0,0,0,NA,NA,NA,NA,NA,NA,1402
Israel,ISR,2021-01-11,21,0,0,0,0,1,4,378,292,0,0,0,NA,NA,NA,NA,NA,NA,696
Israel,ISR,2021-01-25,43,4,0,0,0,0,4,625,491,0,0,0,NA,NA,NA,NA,NA,NA,1167
Israel,ISR,2021-02-08,84,3,0,0,0,0,6,1670,572,0,0,0,NA,NA,NA,NA,NA,NA,2335
Israel,ISR,2021-02-22,35,1,0,0,4,0,0,751,94,0,0,0,NA,NA,NA,NA,NA,NA,885
Israel,ISR,2021-02-22,35,1,0,0,4,0,0,751,94,0,0,0,NA,NA,NA,NA,NA,NA,885
Israel,ISR,2021-03-08,46,1,0,0,0,0,0,1822,135,0,0,0,NA,NA,NA,NA,NA,NA,2004
Israel,ISR,2021-03-08,46,1,0,0,0,0,0,1822,135,0,0,0,NA,NA,NA,NA,NA,NA,2004
Israel,ISR,2021-03-22,9,0,0,0,0,0,0,906,10,0,0,0,NA,NA,NA,NA,NA,NA,925
Israel,ISR,2021-03-22,9,0,0,0,0,0,0,906,10,0,0,0,NA,NA,NA,NA,NA,NA,925
Israel,ISR,2021-04-05,2,0,0,0,0,1,0,824,3,0,0,0,NA,NA,NA,NA,NA,NA,830
Israel,ISR,2021-04-05,2,0,0,0,0,1,0,824,3,0,0,0,NA,NA,NA,NA,NA,NA,830
Israel,ISR,2021-04-19,0,0,5,0,1,0,28,424,22,2,0,0,NA,NA,NA,NA,NA,NA,482
Israel,ISR,2021-04-19,0,0,5,0,1,0,28,424,22,2,0,0,NA,NA,NA,NA,NA,NA,482
Israel,ISR,2021-05-03,1,0,2,0,4,4,19,320,5,2,0,0,NA,NA,NA,NA,NA,NA,357
Israel,ISR,2021-05-03,1,0,2,0,4,4,19,320,5,2,0,0,NA,NA,NA,NA,NA,NA,357
Israel,ISR,2021-05-17,1,0,4,0,0,7,23,137,6,26,0,0,NA,NA,NA,NA,NA,NA,204
Israel,ISR,2021-05-17,1,0,4,0,0,7,23,137,6,26,0,0,NA,NA,NA,NA,NA,NA,204
Israel,ISR,2021-05-31,4,0,1,0,0,1,14,120,10,0,0,0,NA,NA,NA,NA,NA,NA,150
Israel,ISR,2021-05-31,4,0,1,0,0,1,14,120,10,0,0,0,NA,NA,NA,NA,NA,NA,150
Israel,ISR,2021-06-14,1,0,3,0,0,0,78,28,4,0,0,0,NA,NA,NA,NA,NA,NA,114
Israel,ISR,2021-06-14,1,0,3,0,0,0,78,28,4,0,0,0,NA,NA,NA,NA,NA,NA,114
Israel,ISR,2021-06-28,0,0,3,0,0,0,826,7,10,1,0,0,NA,NA,NA,NA,NA,NA,847
Israel,ISR,2021-06-28,0,0,3,0,0,0,826,7,10,1,0,0,NA,NA,NA,NA,NA,NA,847
Israel,ISR,2021-07-12,0,0,5,1,0,1,1521,47,51,0,1,0,NA,NA,NA,NA,NA,NA,1627
Israel,ISR,2021-07-12,0,0,5,1,0,1,1521,47,51,0,1,0,NA,NA,NA,NA,NA,NA,1627
