"","date","new_cases"
"1",2021-04-17,0
"2",2021-04-18,0
"3",2021-04-19,0
"4",2021-04-20,0
"5",2021-04-21,0
"6",2021-04-22,0
"7",2021-04-23,0
"8",2021-04-24,0
"9",2021-04-25,0
"10",2021-04-26,0
"11",2021-04-27,0
"12",2021-04-28,0
"13",2021-04-29,0
"14",2021-04-30,0
"15",2021-05-01,0
"16",2021-05-02,0
"17",2021-05-03,0
"18",2021-05-04,0
"19",2021-05-05,0
"20",2021-05-06,0
"21",2021-05-07,0
"22",2021-05-08,0
"23",2021-05-09,0
"24",2021-05-10,0
"25",2021-05-11,0
"26",2021-05-12,1
"27",2021-05-13,0
"28",2021-05-14,0
"29",2021-05-15,0
"30",2021-05-16,0
"31",2021-05-17,0
"32",2021-05-18,0
"33",2021-05-19,0
"34",2021-05-20,1
"35",2021-05-21,0
"36",2021-05-22,0
"37",2021-05-23,0
"38",2021-05-24,0
"39",2021-05-25,0
"40",2021-05-26,0
"41",2021-05-27,0
"42",2021-05-28,0
"43",2021-05-29,0
"44",2021-05-30,0
"45",2021-05-31,0
"46",2021-06-01,0
"47",2021-06-02,0
"48",2021-06-03,0
"49",2021-06-04,0
"50",2021-06-05,0
"51",2021-06-06,0
"52",2021-06-07,0
"53",2021-06-08,0
"54",2021-06-09,0
"55",2021-06-10,0
"56",2021-06-11,0
"57",2021-06-12,0
"58",2021-06-13,0
"59",2021-06-14,0
"60",2021-06-15,0
"61",2021-06-16,0
"62",2021-06-17,0
"63",2021-06-18,0
"64",2021-06-19,0
"65",2021-06-20,0
"66",2021-06-21,0
"67",2021-06-22,0
"68",2021-06-23,0
"69",2021-06-24,0
"70",2021-06-25,0
"71",2021-06-26,0
"72",2021-06-27,0
"73",2021-06-28,0
"74",2021-06-29,0
"75",2021-06-30,0
"76",2021-07-01,0
"77",2021-07-02,0
"78",2021-07-03,0
"79",2021-07-04,0
"80",2021-07-05,0
"81",2021-07-06,0
"82",2021-07-07,1
"83",2021-07-08,0
"84",2021-07-09,0
"85",2021-07-10,0
"86",2021-07-11,0
"87",2021-07-12,0
"88",2021-07-13,0
"89",2021-07-14,1
"90",2021-07-15,0
"91",2021-07-16,1
"92",2021-07-17,0
"93",2021-07-18,0
"94",2021-07-19,3
"95",2021-07-20,0
"96",2021-07-21,0
"97",2021-07-22,0
"98",2021-07-23,0
"99",2021-07-24,0
"100",2021-07-25,0
"101",2021-07-26,1
"102",2021-07-27,2
"103",2021-07-28,1
"104",2021-07-29,1
"105",2021-07-30,1
"106",2021-07-31,1
"107",2021-08-01,7
"108",2021-08-02,5
"109",2021-08-03,6
"110",2021-08-04,4
"111",2021-08-05,6
"112",2021-08-06,3
"113",2021-08-07,1
"114",2021-08-08,14
"115",2021-08-09,23
"116",2021-08-10,23
"117",2021-08-11,18
"118",2021-08-12,10
"119",2021-08-13,15
"120",2021-08-14,2
"121",2021-08-15,25
"122",2021-08-16,37
"123",2021-08-17,52
"124",2021-08-18,38
"125",2021-08-19,48
"126",2021-08-20,57
"127",2021-08-21,19
"128",2021-08-22,27
"129",2021-08-23,123
"130",2021-08-24,92
"131",2021-08-25,117
"132",2021-08-26,99
"133",2021-08-27,108
"134",2021-08-28,35
"135",2021-08-29,122
"136",2021-08-30,214
"137",2021-08-31,186
"138",2021-09-01,150
"139",2021-09-02,194
"140",2021-09-03,135
"141",2021-09-04,31
"142",2021-09-05,109
"143",2021-09-06,196
"144",2021-09-07,32
"145",2021-09-08,4
"146",2021-09-09,90
"147",2021-09-10,190
"148",2021-09-11,129
"149",2021-09-12,95
"150",2021-09-13,148
"151",2021-09-14,154
"152",2021-09-15,97
"153",2021-09-16,24
"154",2021-09-17,51
"155",2021-09-18,15
"156",2021-09-19,55
"157",2021-09-20,97
"158",2021-09-21,8
"159",2021-09-22,56
"160",2021-09-23,74
"161",2021-09-24,62
"162",2021-09-25,6
"163",2021-09-26,27
"164",2021-09-27,40
"165",2021-09-28,7
"166",2021-09-29,33
"167",2021-09-30,89
"168",2021-10-01,56
"169",2021-10-02,11
"170",2021-10-03,29
"171",2021-10-04,51
"172",2021-10-05,21
"173",2021-10-06,18
"174",2021-10-07,15
"175",2021-10-08,15
"176",2021-10-09,1
"177",2021-10-10,5
"178",2021-10-11,20
"179",2021-10-12,25
"180",2021-10-13,17
"181",2021-10-14,19
"182",2021-10-15,14
"183",2021-10-16,7
"184",2021-10-17,16
"185",2021-10-18,45
"186",2021-10-19,20
"187",2021-10-20,23
"188",2021-10-21,17
"189",2021-10-22,26
"190",2021-10-23,0
"191",2021-10-24,14
"192",2021-10-25,21
"193",2021-10-26,11
"194",2021-10-27,9
"195",2021-10-28,1
"196",2021-10-29,9
"197",2021-10-30,1
"198",2021-10-31,7
"199",2021-11-01,11
"200",2021-11-02,7
"201",2021-11-03,5
"202",2021-11-04,6
"203",2021-11-05,7
"204",2021-11-06,0
"205",2021-11-07,4
"206",2021-11-08,3
"207",2021-11-09,5
"208",2021-11-10,6
"209",2021-11-11,2
"210",2021-11-12,2
"211",2021-11-13,0
"212",2021-11-14,2
"213",2021-11-15,12
"214",2021-11-16,4
"215",2021-11-17,5
"216",2021-11-18,1
"217",2021-11-19,2
"218",2021-11-20,1
"219",2021-11-21,14
"220",2021-11-22,7
"221",2021-11-23,9
"222",2021-11-24,3
"223",2021-11-25,5
"224",2021-11-26,0
"225",2021-11-27,4
"226",2021-11-28,6
"227",2021-11-29,7
"228",2021-11-30,0
